campaign,channel,feature,system,numberVideo,forecastViews,publishDate,views,costTotal,likes,comments,reposts,subject
drom2019,academeg,цена,ig,b20a01,1871310,2019-10-22 00:00:00,318240,111600,8284,50,7,авто
drom2019,academeg,отзыв,ig,b20a02,1871310,2019-10-25 00:00:00,1195610,111600,27800,743,1294,авто
drom2019,academeg,дром,yt,b20a03,1871310,2019-10-29 00:00:00,231200,111600,12000,339,211,авто
drom2019,academeg,дром,yt,b20a04,1871310,2019-11-09 00:00:00,1580830,111600,27700,123,221,авто
drom2019,autovrn,собс,ig,b20a01,1103813,2019-10-14 00:00:00,140250,3850,5081,24,10,авто
drom2019,autovrn,выбор,ig,b20a02,1103813,2019-10-18 00:00:00,1191360,3850,51900,126,71,авто
drom2019,autovrn,цена,yt,b20a03,1103813,2019-10-20 00:00:00,6630000,3850,236300,1334,2087,авто
drom2019,autovrn,отзыв,yt,b20a04,1103813,2019-10-22 00:00:00,116280,3850,3996,15,10,авто
drom2019,autovrn,цена,yt,b20a05,1103813,2019-10-26 00:00:00,52870,3850,2281,39,29,авто
drom2019,autovrn,выбор,yt,b20a06,1103813,2019-10-29 00:00:00,1608200,3850,72000,968,751,авто
drom2019,bulkin-drive,цена,ig,b20a01,1198593,2019-10-21 00:00:00,435030,81840,39200,180,122,авто
drom2019,bulkin-drive,собс,ig,b20a02,1198593,2019-10-22 00:00:00,762960,81840,63600,190,74,авто
drom2019,bulkin-drive,отзыв,yt,b20a03,1198593,2019-10-24 00:00:00,475150,81840,36000,133,33,авто
drom2019,bulkin-drive,выбор,yt,b20a04,1198593,2019-10-25 00:00:00,762450,81840,66300,233,67,авто
drom2019,bwteam,выбор,ig,b20a01,2365073,2019-10-19 00:00:00,2380000,297600,212300,1136,1058,авто
drom2019,bwteam,отзыв,ig,b20a02,2365073,2019-10-21 00:00:00,842350,297600,52500,686,149,авто
drom2019,bwteam,собс,yt,b20a03,2365073,2019-10-28 00:00:00,3060000,297600,177600,993,708,авто
drom2019,bwteam,цена,yt,b20a04,2365073,2019-10-25 00:00:00,2040000,297600,179500,1339,565,авто
drom2019,combat-crew,цена,ig,b20a01,153242,2019-10-21 00:00:00,29920,22759,896,7,1,авто
drom2019,combat-crew,выбор,ig,b20a02,153242,2019-10-27 00:00:00,91970,22759,3875,38,31,авто
drom2019,oblomoff,собс,ig,b20a01,190995,2019-10-14 00:00:00,140250,68448,6762,59,26,еда
drom2019,oblomoff,отзыв,ig,b20a02,190995,2019-10-20 00:00:00,2210000,68448,141800,3564,507,еда
drom2019,oblomoff,выбор,yt,b20a03,190995,2019-10-22 00:00:00,977670,68448,39500,427,217,еда
drom2019,oblomoff,выбор,yt,b20a04,190995,2019-10-25 00:00:00,305660,68448,18400,337,88,еда
drom2019,offroad-spb,цена,ig,b20a01,237580,2019-10-13 00:00:00,22610,8556,1048,23,4,авто
drom2019,offroad-spb,собс,ig,b20a02,237580,2019-10-16 00:00:00,35360,8556,1699,34,11,авто
drom2019,offroad-spb,дром,yt,b20a03,237580,2019-10-20 00:00:00,73440,8556,6220,170,47,авто
drom2019,offroad-spb,дром,yt,b20a04,237580,2019-10-23 00:00:00,44710,8556,1532,52,9,авто
drom2019,redakciya,выбор,ig,b20a01,463766,2019-10-16 00:00:00,23970,856,811,15,6,новости
drom2019,redakciya,цена,ig,b20a02,463766,2019-10-20 00:00:00,12451,856,353,11,0,новости
drom2019,redakciya,дром,yt,b20a03,463766,2019-11-02 00:00:00,61030,856,3813,59,77,новости
drom2019,redakciya,дром,yt,b20a04,463766,2019-11-04 00:00:00,5299,856,89,8,0,новости
drom2019,varlamov,выбор,ig,b20a01,484558,2019-10-17 00:00:00,411400,11204,25300,241,16,путешествия
drom2019,varlamov,отзыв,ig,b20a02,484558,2019-10-22 00:00:00,1603780,11204,111500,340,44,путешествия
drom2019,varlamov,цена,yt,b20a03,484558,2019-10-26 00:00:00,1600040,11204,147900,273,40,путешествия
drom2019,varlamov,собс,yt,b20a04,484558,2019-10-28 00:00:00,354620,11204,28000,158,10,путешествия
drom2020,academeg,собс,ig,b20a01,1198190,2020-03-19 00:00:00,2720000,346704,195300,589,628,авто
drom2020,academeg,дром,ig,b20a02,1198190,2020-03-27 00:00:00,1215330,346704,109500,985,415,авто
drom2020,academeg,дром,yt,b20a03,1198190,2020-03-30 00:00:00,15300000,346704,1400000,13100,3316,авто
drom2020,academeg,дром,yt,b20a04,1198190,2020-03-03 00:00:00,1354560,346704,150900,1083,211,авто
drom2020,autovrn,выбор,ig,b20a01,1761935,2020-03-19 00:00:00,1085620,163680,84700,406,2461,авто
drom2020,bulkin-drive,отзыв,ig,b20a01,252140,2020-03-20 00:00:00,159290,42780,5999,105,18,авто
drom2020,bulkin-drive,дром,ig,b20a02,252140,2020-03-27 00:00:00,411400,42780,29500,48,36,авто
drom2020,bulkin-drive,выбор,yt,b20a03,252140,2020-04-02 00:00:00,257210,42780,11900,51,122,авто
drom2020,bulkin-drive,собс,yt,b20a04,252140,2020-04-07 00:00:00,2550000,42780,122100,552,89,авто
drom2020,bwteam,дром,ig,b20a01,740320,2020-03-15 00:00:00,586330,79608,41300,101,100,авто
drom2020,bwteam,дром,ig,b20a02,740320,2020-03-19 00:00:00,2040000,79608,139100,241,177,авто
drom2020,bwteam,дром,yt,b20a03,740320,2020-03-20 00:00:00,415480,79608,21400,42,45,авто
drom2020,bwteam,дром,yt,b20a04,740320,2020-03-24 00:00:00,5270000,79608,398600,624,335,авто
drom2020,bwteam,дром,yt,b20a05,740320,2020-03-26 00:00:00,2550000,79608,211500,403,227,авто
drom2020,bwteam,дром,yt,b20a06,740320,2020-03-30 00:00:00,393380,79608,24000,45,37,авто
drom2020,combat-crew,собс,ig,b20a01,646065,2020-03-13 00:00:00,136850,3647,6880,136,18,авто
drom2020,combat-crew,выбор,ig,b20a02,646065,2020-03-20 00:00:00,520540,3647,25300,474,196,авто
drom2020,combat-crew,отзыв,yt,b20a03,646065,2020-03-22 00:00:00,341190,3647,13300,187,115,авто
drom2020,combat-crew,цена,yt,b20a04,646065,2020-03-26 00:00:00,2380000,3647,148500,801,2446,авто
drom2020,combat-crew,дром,yt,b20a05,646065,2020-03-29 00:00:00,402390,3647,19900,389,185,авто
drom2020,combat-crew,дром,yt,b20a06,646065,2020-03-31 00:00:00,524960,3647,25400,383,54,авто
drom2020,oblomoff,цена,ig,b20a01,413140,2020-03-14 00:00:00,137530,217858,10800,135,65,еда
drom2020,oblomoff,отзыв,ig,b20a02,413140,2020-03-20 00:00:00,1870000,217858,212100,1003,4412,еда
drom2020,oblomoff,выбор,yt,b20a03,413140,2020-03-22 00:00:00,172040,217858,16200,224,82,еда
drom2020,oblomoff,дром,yt,b20a04,413140,2020-03-27 00:00:00,12580000,217858,1300000,9134,8233,еда
drom2020,redakciya,собс,ig,b20a01,1260046,2020-03-31 00:00:00,18870000,223200,1500000,3589,3276,новости
drom2020,redakciya,отзыв,ig,b20a02,1260046,2020-04-02 00:00:00,530400,223200,53900,305,30,новости
drom2020,redakciya,выбор,yt,b20a03,1260046,2020-04-06 00:00:00,1115880,223200,121800,180,177,новости
drom2020,redakciya,цена,yt,b20a04,1260046,2020-04-08 00:00:00,1628600,223200,63500,514,51,новости
drom2020,varlamov,отзыв,ig,b20a01,540645,2020-03-01 00:00:00,338980,69936,12300,25,12,путешествия
drom2020,varlamov,дром,ig,b20a02,540645,2020-03-25 00:00:00,1697620,69936,50700,796,201,путешествия
drom2020,varlamov,дром,yt,b20a03,540645,2020-03-29 00:00:00,309910,69936,11500,150,108,путешествия
drom2020,varlamov,дром,yt,b20a04,540645,2020-03-27 00:00:00,430610,69936,15900,314,131,путешествия
